image_id,box
000000000077,"[0.6, 0.43733333333333335, 0.734, 0.5253333333333333]"
000000000086,"[0.85546875, 0.396875, 0.935546875, 0.44375]"
000000000089,"[0.6890625, 0.8645833333333334, 0.9421875, 0.9229166666666667]"
000000000094,"[0.05, 0.4964871194379391, 0.4109375, 0.5761124121779859]; [0.0875, 0.5714285714285714, 0.2109375, 0.6416861826697893]; [0.04375, 0.6370023419203747, 0.24375, 0.711943793911007]; [0.04375, 0.6370023419203747, 0.24375, 0.711943793911007]"
000000000109,"[0.0421875, 0.9206730769230769, 0.4078125, 0.9735576923076923]"
000000000110,"[0.084375, 0.7479166666666667, 0.2046875, 0.8375]"
000000000113,"[0.53125, 0.403125, 0.6370192307692307, 0.4265625]; [0.6033653846153846, 0.7296875, 0.7644230769230769, 0.796875]; [0.6322115384615384, 0.696875, 0.7403846153846154, 0.7421875]"
000000000138,"[0.3890625, 0.8952879581151832, 0.5, 0.9546247818499127]; [0.7734375, 0.7713787085514834, 0.8984375, 0.837696335078534]; [0.75, 0.6893542757417103, 0.871875, 0.7399650959860384]; [0.775, 0.7382198952879581, 0.9046875, 0.7801047120418848]; [0.3890625, 0.8481675392670157, 0.496875, 0.9022687609075044]"
000000000142,"[0.1875, 0.009375, 0.56875, 0.2265625]"
000000000151,"[0.44166666666666665, 0.5265625, 0.51875, 0.5546875]"
000000000201,"[0.565625, 0.8037383177570093, 0.6140625, 0.8481308411214953]"
000000000247,"[0.4296875, 0.5990566037735849, 0.5109375, 0.6863207547169812]; [0.5015625, 0.6580188679245284, 0.5421875, 0.7051886792452831]; [0.5671875, 0.5542452830188679, 0.6484375, 0.6674528301886793]"
000000000250,"[0.1265625, 0.54375, 0.4359375, 0.7729166666666667]; [0.5859375, 0.5333333333333333, 0.8, 0.7833333333333333]"
000000000308,"[0.7171875, 0.4084507042253521, 0.7546875, 0.4624413145539906]"
000000000315,"[0.7796875, 0.8758782201405152, 0.9828125, 0.9742388758782201]"
000000000368,"[0.79375, 0.2125, 0.89375, 0.240625]"
000000000389,"[0.1765625, 0.7625, 0.25, 0.7958333333333333]; [0.190625, 0.7875, 0.24375, 0.8354166666666667]"
000000000491,"[0.014, 0.9073482428115016, 0.072, 0.9840255591054313]"
000000000529,"[0.38875878220140514, 0.9578125, 0.6112412177985949, 0.9890625]"
000000000542,"[0.1046875, 0.506198347107438, 0.246875, 0.5929752066115702]"
000000000605,"[0.796875, 0.45, 0.865625, 0.5]; [0.80625, 0.49375, 0.903125, 0.5770833333333333]; [0.85, 0.6, 0.98125, 0.7208333333333333]; [0.8546875, 0.6104166666666667, 0.896875, 0.6541666666666667]"
000000000625,"[0.3453125, 0.625560538116592, 0.3859375, 0.6636771300448431]"
000000000629,"[0.9046875, 0.3981264637002342, 0.996875, 0.48711943793911006]"
000000000656,"[0.4796875, 0.19703389830508475, 0.5359375, 0.23516949152542374]"
000000000670,"[0.746875, 0.8782201405152225, 0.821875, 0.9765807962529274]; [0.45, 0.4707259953161593, 0.54375, 0.5386416861826698]"
000000000681,"[0.5104166666666666, 0.559375, 0.7333333333333333, 0.603125]"
000000000723,"[0.5626740947075209, 0.4609375, 0.8913649025069638, 0.5296875]; [0.06963788300835655, 0.615625, 0.26740947075208915, 0.646875]; [0, 0.134375, 0.6796657381615598, 0.2375]; [0.6880222841225627, 0.5109375, 0.7715877437325905, 0.534375]; [0.4373259052924791, 0.54375, 0.49303621169916434, 0.5734375]"
000000000753,"[0.6807511737089202, 0.95625, 0.9624413145539906, 0.9796875]"
000000000801,"[0.009375, 0.875, 0.1296875, 0.9666666666666667]"
000000000813,"[0.8390625, 0.9287531806615776, 0.984375, 0.9669211195928753]"
000000000882,"[0.384375, 0.6135831381733021, 0.4578125, 0.6768149882903981]"
000000000901,"[0.17608695652173914, 0.5890625, 0.3456521739130435, 0.6359375]; [0.7130434782608696, 0.35, 0.8543478260869565, 0.409375]; [0.17608695652173914, 0.5671875, 0.24782608695652175, 0.6]; [0.2717391304347826, 0.228125, 0.33043478260869563, 0.2640625]; [0.782608695652174, 0.8515625, 0.8913043478260869, 0.928125]; [0.7347826086956522, 0.778125, 0.8804347826086957, 0.8609375]; [0.03260869565217391, 0.015625, 0.11521739130434783, 0.06875]; [0.21956521739130436, 0.215625, 0.32608695652173914, 0.240625]; [0.23478260869565218, 0.159375, 0.3217391304347826, 0.2]; [0.7434782608695653, 0.859375, 0.7934782608695652, 0.8921875]; [0.7847826086956522, 0.8921875, 0.8804347826086957, 0.9203125]"
